Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
8/19/2014,507.9,520.5,505.45,518.75,513.1234495,869635,26437,446230111,262586,30.19,15.05,10.85
8/20/2014,519,521.85,509.25,511.65,515.3592763,491836,13049,253472245,143956,29.27,12.6,-7.35
8/21/2014,515.2,518.1,506.4,512.6,512.6819625,355392,10638,182203068,96515,27.16,11.7,-2.6
8/22/2014,514,520.7,510.5,511.5,514.5640188,291547,11055,150019596,83108,28.51,10.2,-2.5
8/25/2014,515.9,517.9,505.3,508.3,512.75,256704,7787,131624976,86706,33.78,12.6,-7.6
8/26/2014,499.95,515.45,497.2,512.9,507.4450824,459443,13342,233142091,87038,18.94,18.25,12.95
8/27/2014,517.9,524.45,516.7,521.6,520.0976914,480298,12427,249801881,176687,36.79,7.75,3.7
8/28/2014,523,531,523,524.4,526.9875128,396967,12421,209196652,92482,23.3,8,1.4
9/1/2014,526,529.45,517.1,519.85,520.893615,377262,10059,196513367,158430,41.99,12.35,-6.15
9/2/2014,518,520.5,512,516.4,515.9583958,258171,7357,133205495,75442,29.22,8.5,-1.6
9/3/2014,526,530.5,521.35,522.65,524.4450131,459373,12665,240915879,173348,37.74,9.15,-3.35
9/4/2014,522.65,522.65,509,512.85,513.1254332,333261,10250,171004695,103952,31.19,13.65,-9.8
9/5/2014,513,516.5,503.1,506.35,510.9207539,594654,12427,303821070,341685,57.46,13.4,-6.65
9/8/2014,510,512,503,510.5,507.4384531,594392,9716,301617357,282519,47.53,9,0.5
9/9/2014,512,518.15,507.9,517.25,514.2380411,444167,11186,228407568,175306,39.47,10.25,5.25
9/10/2014,514.9,520.35,512.5,516.3,517.4118168,325436,11024,168384432,130674,40.15,7.85,1.4
9/11/2014,518.1,519.95,510.9,514.1,514.5950009,341423,10846,175694569,144364,42.28,9.05,-4
9/12/2014,514.5,519.2,514,516.5,516.6264961,247561,5371,127896572,112467,45.43,5.2,2
9/15/2014,514,515.5,510.25,512.25,512.6557943,156482,4685,80221404,66833,42.71,5.25,-1.75
9/16/2014,510,510,495,499.6,503.214905,921286,9191,463604847,749915,81.4,15,-10.4
9/17/2014,502,509,491.05,506.85,499.967583,309529,8840,154754466,79669,25.74,17.95,4.85
9/18/2014,508,527.5,500.95,525.6,518.6285904,513102,12850,266109367,205868,40.12,26.55,17.6
9/19/2014,526,528.95,516.25,519,524.0923531,326616,7682,171176948,120868,37.01,12.7,-7
9/22/2014,514,542,514,539.4,535.5195859,622132,18011,333163871,172800,27.78,28,25.4
9/23/2014,544,544.5,516.3,517.8,527.6395778,772075,17024,407377327,272612,35.31,28.2,-26.2
9/24/2014,519,519,506.25,512.95,512.9410412,375771,10943,192748368,80729,21.48,12.75,-6.05
9/25/2014,515,515,500.2,503.55,507.4353476,207154,7052,105117262,44992,21.72,14.8,-11.45
9/26/2014,501,513,492.75,511.45,504.6806314,446481,11867,225330313,80784,18.09,20.25,10.45
9/29/2014,510.8,515.4,508,510.75,511.1420079,232987,8372,119089443,57576,24.71,7.4,-0.05
9/30/2014,511.5,514.4,501.25,502.75,509.2261472,281728,7071,143463264,49097,17.43,13.15,-8.75
10/1/2014,502.65,507.7,499.3,502.75,504.2915186,202385,7294,102061039,48431,23.93,8.4,0.1
10/7/2014,501.25,516.8,501,504.9,509.4935887,390481,9512,198947566,103926,26.61,15.8,3.65
10/8/2014,506,512.55,502.1,510,509.2701794,228178,6188,116204251,46943,20.57,10.45,4
10/9/2014,516,522,513.5,519.95,517.6546633,200083,5816,103573898,65543,32.76,8.5,3.95
10/10/2014,515,515,489.8,492.35,497.39901,640831,19938,318748705,226722,35.38,25.2,-22.65
10/13/2014,490,498.3,480.35,496.35,490.7046187,439124,13682,215480175,72797,16.58,17.95,6.35
10/14/2014,500,501,486.1,488.2,490.4960708,357326,12365,175266999,97883,27.39,14.9,-11.8
10/16/2014,486.8,500.5,481.5,483.8,491.6179749,345616,9229,169911038,63359,18.33,19,-3
10/17/2014,485.1,485.1,468.15,475.75,476.3961677,487488,14799,232237415,127213,26.1,16.95,-9.35
10/20/2014,486,497,484.45,494.5,492.3075038,381953,12378,188038328,97731,25.59,12.55,8.5
10/21/2014,497.9,503.8,493.75,501.7,500.1878888,369591,11881,184864942,110645,29.94,10.05,3.8
10/22/2014,508.1,520.5,508.1,519.45,515.4883664,395148,16326,203694197,153461,38.84,12.4,11.35
10/23/2014,519,521,515,516.95,517.1946755,78731,3276,40719254,30656,38.94,6,-2.05
10/27/2014,517.1,518.5,502.1,503.65,506.6104848,199566,7209,101102228,49747,24.93,16.4,-13.45
10/28/2014,506,511.4,504,508.6,508.432399,189339,5849,96266082,35884,18.95,7.4,2.6
10/29/2014,514.55,526.9,514.55,525.95,522.2649322,328016,12609,171311254,100348,30.59,12.35,11.4
10/30/2014,521.5,529.9,520.5,526.4,525.7376745,281044,7747,147755419,77556,27.6,9.4,4.9
10/31/2014,526.35,537,521.05,535.65,531.4882345,447578,14572,237882441,135055,30.17,15.95,9.3
11/3/2014,532,536,526.55,531.15,531.0038911,274218,8654,145610825,65670,23.95,9.45,-0.85
11/5/2014,530.7,538.4,521.35,534.75,534.9822846,601625,17149,321858717,268566,44.64,17.05,4.05
11/7/2014,530,544.2,530,533.75,536.8845486,255848,6016,137360838,93896,36.7,14.2,3.75
11/10/2014,533.9,534.8,519,521.7,522.647554,406292,6847,212347520,177277,43.63,15.8,-12.2
11/11/2014,522,527.85,516.8,521.7,521.2896795,362656,7024,189048830,177657,48.99,11.05,-0.3
11/12/2014,522,536.5,522,530.6,531.38424,308984,9888,164189228,99117,32.08,14.5,8.6
11/13/2014,532.25,535.8,523.85,526.25,527.9922125,308315,9090,162787919,86933,28.2,11.95,-6
11/14/2014,530,536.45,519.9,523.8,529.1824268,386248,10800,204395654,83869,21.71,16.55,-6.2
11/17/2014,518.8,547.35,518.8,545.1,540.6325032,885760,19649,478870646,340803,38.48,28.55,26.3
11/18/2014,548.95,550.8,540.5,541.3,543.5987487,502503,10632,273160002,212923,42.37,10.3,-7.65
11/19/2014,542,544.95,522.55,528.9,532.206744,394783,10338,210106175,137513,34.83,22.4,-13.1
11/20/2014,533.7,533.7,520.35,524.65,522.8312258,472596,7928,247087946,264899,56.05,13.35,-9.05
11/21/2014,528,539,527.5,530.45,532.1518873,519102,10526,276241109,277108,53.38,11.5,2.45
11/24/2014,530.65,538.25,525,526.6,529.0773292,623982,7178,330134730,419748,67.27,13.25,-4.05
11/25/2014,528,529,513.35,520.75,520.5078833,495541,11385,257932997,149882,30.25,15.65,-7.25
11/26/2014,521,524.8,515.3,519.75,520.2567417,358216,7756,186364289,153855,42.95,9.5,-1.25
11/27/2014,514.9,522.45,511.5,518.55,515.5819253,595683,10290,307123388,286614,48.12,10.95,3.65
